id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1517568560318590977,1517568560318590977,2022-04-23 01:18:34 SE Asia Standard Time,2022-04-23,01:18:34,+0700,1028020939697651715,greasestalns,#SWIFTIE,,the traffic light talking to taylor swift when she asked if it would be alright   https://t.co/1VoT5z0Nql,en,[],[],[],0,1,6,[],[],https://twitter.com/GREASESTAlNS/status/1517568560318590977,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1445521617832988679/pu/img/rZpRKDAnQuspfxmj.jpg,,,,,,,[],,,,
1517567366745530371,1517567366745530371,2022-04-23 01:13:49 SE Asia Standard Time,2022-04-23,01:13:49,+0700,1271777358551318531,ladygaga_chart,lady gaga charts,,"Artists who won the most #EMAs  #1. Lady gaga — 12 wins #2. Britney spears , Taylor swift — 8 wins #3. Beyonce — 7 wins  https://t.co/L9tmITFudI",en,[],[],['https://pbs.twimg.com/media/FQ97d6DXEAEpLzQ.jpg'],0,1,15,['emas'],[],https://twitter.com/ladygaga_chart/status/1517567366745530371,False,,1,https://pbs.twimg.com/media/FQ97d6DXEAEpLzQ.jpg,,,,,,,[],,,,
1517567172431826951,1517567172431826951,2022-04-23 01:13:03 SE Asia Standard Time,2022-04-23,01:13:03,+0700,2782189422,tsworid,Taylor Swift World,,Really weird that there are so many interactions between Taylor Swift and other artists these days... Something big is coming up? 👀👀👀  https://t.co/hoPsQr0UV4,en,[],[],"['https://pbs.twimg.com/media/FQ97THuXoAAQP4o.jpg', 'https://pbs.twimg.com/media/FQ97THtXwAQ8fsi.jpg', 'https://pbs.twimg.com/media/FQ97THtXsAA9jps.jpg', 'https://pbs.twimg.com/media/FQ97THsXMAQZyHH.jpg']",1,14,87,[],[],https://twitter.com/TSWorId/status/1517567172431826951,False,,1,https://pbs.twimg.com/media/FQ97THuXoAAQP4o.jpg,,,,,,,[],,,,
1517566804721541120,1517564801417117696,2022-04-23 01:11:35 SE Asia Standard Time,2022-04-23,01:11:35,+0700,1397790401528877061,zenith_malhotra,Zenith loves Deepanshi 🧣,,@DeepanshiKukkar @riyaputashnstan @riyaputation @loverkhush @sushi_hehe @swiftweetie @Shreya_1202 @TaylorsLostSon @TarunSharma0009 @Brishti119 @taylena1D1328 @timmi_loml @tayseyzaycie @HappinessTaylo3 @bernie_tay_ot5 @folkpiedpiper @alltooneihal @madhuLovesTay @epiphany_ks @Swiftconic13 @Evanthe181 @fearlesslyAn @star_dust_22 @IAMvDroid13 @delicatecowboyy @simp4nar @taylorswift13 @SharmaUnmesha I love and appreciate all of you. Thank you for being here &lt;3,en,"[{'screen_name': 'swiftconic13', 'name': 'swiftconic || 𝓝𝓮𝔀 𝓡𝓸𝓶𝓪𝓷𝓽𝓲𝓬𝓼 𝓮𝓻𝓪 ||', 'id': '1468606242142801923'}, {'screen_name': 'evanthe181', 'name': '_evanthe18_', 'id': '1118835422841450498'}, {'screen_name': 'fearlesslyan', 'name': 'anushka', 'id': '1338476232556466180'}, {'screen_name': 'star_dust_22', 'name': ""property of sasha 💫 she/her (aiden's day)"", 'id': '1425121533907804162'}, {'screen_name': 'iamvdroid13', 'name': ""₁₃vinayak¹³ (taylor's version) 🃏👸🧣"", 'id': '1311139820631072770'}, {'screen_name': 'delicatecowboyy', 'name': '𝗷𝗮!𝗿🌻', 'id': '1400584867956543488'}, {'screen_name': 'simp4nar', 'name': 'pluto', 'id': '1470096054959763460'}, {'screen_name': 'taylorswift13', 'name': 'taylor swift', 'id': '17919972'}, {'screen_name': 'sharmaunmesha', 'name': 'unmesha 🧣❤ \U0001faf6', 'id': '1145751145127612416'}]",[],[],0,0,6,[],[],https://twitter.com/zenith_malhotra/status/1517566804721541120,False,,0,,,,,,,,"[{'screen_name': 'DeepanshiKukkar', 'name': 'Deepanshi', 'id': '1465045115433459712'}, {'screen_name': 'riyaputashnstan', 'name': ""getting Cate's Brother finalllyyyy 😭😭😭😭"", 'id': '1459580199729709056'}, {'screen_name': 'riyaputation', 'name': 'Riya⭐🧣should be studying!', 'id': '1359153662275293189'}, {'screen_name': 'loverkhush', 'name': ""💛💙Cookie🧣( Riya's version)"", 'id': '1337932865045086211'}, {'screen_name': 'sushi_hehe', 'name': 'sudhi 🧣 💗 ☁️', 'id': '1369928683188744193'}, {'screen_name': 'swiftweetie', 'name': 'Pari 🧣', 'id': '1454807843601666055'}, {'screen_name': 'Shreya_1202', 'name': 'Shreya', 'id': '1321291388470906894'}, {'screen_name': 'TaylorsLostSon', 'name': ""Rodeo Clown (Anindo's Version)💞💃"", 'id': '1455414319328337920'}, {'screen_name': 'TarunSharma0009', 'name': 'Tarun⸆⸉🧣✨is waiting for 1989 TV Album', 'id': '1398516121293135878'}, {'screen_name': 'Brishti119', 'name': 'Taylor🧣 on follow limit', 'id': '1511697077050687495'}, {'screen_name': 'taylena1D1328', 'name': ""Chaitra(Taylor's Version) LATE NIGHT TALKING"", 'id': '1488761723334979585'}, {'screen_name': 'timmi_loml', 'name': 'Mrudini || MSD supermacy era', 'id': '1505089990174273542'}, {'screen_name': 'tayseyzaycie', 'name': 'VEDA', 'id': '1432179587182649348'}, {'screen_name': 'HappinessTaylo3', 'name': ""Zara (Taylor's Version)🧣 \U0001faa9 \U0001faf6🏻"", 'id': '1488012906159828992'}, {'screen_name': 'bernie_tay_ot5', 'name': 'Bernie Is Happy', 'id': '1359837094114304002'}, {'screen_name': 'folkpiedpiper', 'name': '爱 zee⁷ is still at the restaurant', 'id': '1460495315501412353'}, {'screen_name': 'alltooneihal', 'name': '𓆩 neihal hrts nic 𓆪 || SHROOT DAY', 'id': '1363177660000649220'}, {'screen_name': 'madhuLovesTay', 'name': 'Madhurima🌹Superache (claims track 3)', 'id': '1338755352037351424'}]",,,,
1517566206831644674,1517566206831644674,2022-04-23 01:09:13 SE Asia Standard Time,2022-04-23,01:09:13,+0700,1381221105462034432,chartdata_ts,Taylor Swift Data,,.@taylorswift13 places 4 albums on this week's UK Albums Chart Top 100 (@officialcharts):  #43(+3) 1989 [247 weeks] #51(-1) folklore [91 weeks] #60(+4) Lover [122 weeks] #63(-1) #RedTaylorsVersion [23 weeks],en,"[{'screen_name': 'taylorswift13', 'name': 'taylor swift', 'id': '17919972'}, {'screen_name': 'officialcharts', 'name': 'official charts', 'id': '18937505'}]",[],[],1,4,33,['redtaylorsversion'],[],https://twitter.com/chartdata_TS/status/1517566206831644674,False,,0,,,,,,,,[],,,,
1517565903260602374,1517565903260602374,2022-04-23 01:08:01 SE Asia Standard Time,2022-04-23,01:08:01,+0700,1287083440752517121,steve03686723,Steve,,make the song of the summer u cowards @Drake @taylorswift13,en,"[{'screen_name': 'drake', 'name': 'drizzy', 'id': '27195114'}, {'screen_name': 'taylorswift13', 'name': 'taylor swift', 'id': '17919972'}]",[],[],1,0,5,[],[],https://twitter.com/Steve03686723/status/1517565903260602374,False,,0,,,,,,,,[],,,,
1517565773052534784,1517565773052534784,2022-04-23 01:07:29 SE Asia Standard Time,2022-04-23,01:07:29,+0700,1335660521207566338,verstappenim,°,,max verstappen as a taylor swift song lyrics a thread 😌  https://t.co/7VkeyqumAI,en,[],[],"['https://pbs.twimg.com/media/FQ96BhmXIAAZMMa.jpg', 'https://pbs.twimg.com/media/FQ96BxwXsAcA4GY.jpg']",1,0,7,[],[],https://twitter.com/verstappenim/status/1517565773052534784,False,,1,https://pbs.twimg.com/media/FQ96BhmXIAAZMMa.jpg,,,,,,,[],,,,
1517564948343582720,1517564948343582720,2022-04-23 01:04:13 SE Asia Standard Time,2022-04-23,01:04:13,+0700,315158621,wonnnwoo,𖧷,,mingyu wants to collab with the weeknd and not taylor swift you heard that swiftiedaengies,en,[],[],[],3,0,5,[],[],https://twitter.com/wonnnwoo/status/1517564948343582720,False,,0,,,,,,,,[],,,,
1517564320770674688,1517563383565926402,2022-04-23 01:01:43 SE Asia Standard Time,2022-04-23,01:01:43,+0700,1164366218544988160,aidan7501,aidan,,@arianacvmrvg @chrisbejt @chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem We see the ponytail,en,[],[],[],0,0,6,[],[],https://twitter.com/aidan7501/status/1517564320770674688,False,,0,,,,,,,,"[{'screen_name': 'arianacvmrvg', 'name': 'DOJA QUEEN OF RAP🧣', 'id': '1511231307426242562'}, {'screen_name': 'chrisbejt', 'name': 'Jace', 'id': '1465533777371824134'}, {'screen_name': 'chartdata', 'name': 'chart data', 'id': '744260935527735296'}, {'screen_name': 'sanbenito', 'name': '☀️🌊❤️', 'id': '1059542139737128960'}, {'screen_name': 'taylorswift13', 'name': 'Taylor Swift', 'id': '17919972'}, {'screen_name': 'theweeknd', 'name': 'The Weeknd', 'id': '255388236'}, {'screen_name': 'Drake', 'name': 'Drizzy', 'id': '27195114'}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': '335141638'}, {'screen_name': 'edsheeran', 'name': 'Ed Sheeran HQ', 'id': '85452649'}, {'screen_name': 'justinbieber', 'name': 'Justin Bieber', 'id': '27260086'}, {'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': '181561712'}, {'screen_name': 'kanyewest', 'name': 'ye', 'id': '169686021'}, {'screen_name': 'Eminem', 'name': 'Marshall Mathers', 'id': '22940219'}]",,,,
1517564258652983297,1517563383565926402,2022-04-23 01:01:28 SE Asia Standard Time,2022-04-23,01:01:28,+0700,1164366218544988160,aidan7501,aidan,,@TECHI_tw @arianacvmrvg @chartdata @sanbenito @taylorswift13 @theweeknd @Drake @BTS_twt @edsheeran @justinbieber @Harry_Styles @kanyewest @Eminem Worry about Taylor outstreaming gaga + Katy more than triple daily despite debuting before both,en,[],[],[],0,0,9,[],[],https://twitter.com/aidan7501/status/1517564258652983297,False,,0,,,,,,,,"[{'screen_name': 'TECHI_tw', 'name': 'TECHI!📀', 'id': '1423503196836802564'}, {'screen_name': 'arianacvmrvg', 'name': 'DOJA QUEEN OF RAP🧣', 'id': '1511231307426242562'}, {'screen_name': 'chartdata', 'name': 'chart data', 'id': '744260935527735296'}, {'screen_name': 'sanbenito', 'name': '☀️🌊❤️', 'id': '1059542139737128960'}, {'screen_name': 'taylorswift13', 'name': 'Taylor Swift', 'id': '17919972'}, {'screen_name': 'theweeknd', 'name': 'The Weeknd', 'id': '255388236'}, {'screen_name': 'Drake', 'name': 'Drizzy', 'id': '27195114'}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': '335141638'}, {'screen_name': 'edsheeran', 'name': 'Ed Sheeran HQ', 'id': '85452649'}, {'screen_name': 'justinbieber', 'name': 'Justin Bieber', 'id': '27260086'}, {'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': '181561712'}, {'screen_name': 'kanyewest', 'name': 'ye', 'id': '169686021'}, {'screen_name': 'Eminem', 'name': 'Marshall Mathers', 'id': '22940219'}]",,,,
